slug,nom,categorie,slot,set,rarete,stat_principale,val_principale,stat_secondaire_1,val_secondaire_1,stat_secondaire_2,val_secondaire_2,stats_aleatoires,set_nom,set_pieces,set_bonus,image_url,page_url
scorching-gust-belt-finest,Scorching Gust Belt (Finest),Armor,Belt,Quaking Horizon,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Quaking Horizon,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Leather_3017.png?class=iconmd,https://zeroluck.gg/7dso/gear/scorching-gust-belt-finest/
scorching-gust-bottoms-finest,Scorching Gust Bottoms (Finest),Armor,Bottom,Quaking Horizon,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Quaking Horizon,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Leather_3017.png?class=iconmd,https://zeroluck.gg/7dso/gear/scorching-gust-bottoms-finest/
scorching-gust-combat-boots-finest,Scorching Gust Combat Boots (Finest),Armor,Shoes,Quaking Horizon,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Quaking Horizon,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Leather_3017.png?class=iconmd,https://zeroluck.gg/7dso/gear/scorching-gust-combat-boots-finest/
scorching-gust-earrings-finest,Scorching Gust Earrings (Finest),Accessory,Earring,Quaking Horizon,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,Sets Sets Quaking Horizon,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_3016.png?class=iconmd,https://zeroluck.gg/7dso/gear/scorching-gust-earrings-finest/
scorching-gust-necklace-finest,Scorching Gust Necklace (Finest),Accessory,Necklace,Quaking Horizon,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,Sets Sets Quaking Horizon,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_3016.png?class=iconmd,https://zeroluck.gg/7dso/gear/scorching-gust-necklace-finest/
scorching-gust-ring-finest,Scorching Gust Ring (Finest),Accessory,Ring,Quaking Horizon,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,Sets Sets Quaking Horizon,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_3016.png?class=iconmd,https://zeroluck.gg/7dso/gear/scorching-gust-ring-finest/
scorching-gust-top-finest,Scorching Gust Top (Finest),Armor,Chest,Quaking Horizon,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Quaking Horizon,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Leather_3017.png?class=iconmd,https://zeroluck.gg/7dso/gear/scorching-gust-top-finest/
thunderous-belt-finest,Thunderous Belt (Finest),Armor,Belt,Blinding Flash,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Blinding Flash,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Plate_3014.png?class=iconmd,https://zeroluck.gg/7dso/gear/thunderous-belt-finest/
thunderous-bottoms-finest,Thunderous Bottoms (Finest),Armor,Bottom,Blinding Flash,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Blinding Flash,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Plate_3014.png?class=iconmd,https://zeroluck.gg/7dso/gear/thunderous-bottoms-finest/
thunderous-combat-boots-finest,Thunderous Combat Boots (Finest),Armor,Shoes,Blinding Flash,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Blinding Flash,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Plate_3014.png?class=iconmd,https://zeroluck.gg/7dso/gear/thunderous-combat-boots-finest/
thunderous-top-finest,Thunderous Top (Finest),Armor,Chest,Blinding Flash,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Blinding Flash,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Plate_3014.png?class=iconmd,https://zeroluck.gg/7dso/gear/thunderous-top-finest/
artisan-s-fine-top-3,Artisan's Fine Top,Armor,Chest,,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Cloth_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/artisan-s-fine-top-3/
fiery-essence-belt-sturdy,Fiery Essence Belt (Sturdy),Armor,Belt,Burning Heart,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Burning Heart,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Leather_3006.png?class=iconmd,https://zeroluck.gg/7dso/gear/fiery-essence-belt-sturdy/
fiery-essence-bottoms-sturdy,Fiery Essence Bottoms (Sturdy),Armor,Bottom,Burning Heart,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Burning Heart,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Leather_3006.png?class=iconmd,https://zeroluck.gg/7dso/gear/fiery-essence-bottoms-sturdy/
fiery-essence-combat-boots-sturdy,Fiery Essence Combat Boots (Sturdy),Armor,Shoes,Burning Heart,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Burning Heart,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Leather_3006.png?class=iconmd,https://zeroluck.gg/7dso/gear/fiery-essence-combat-boots-sturdy/
fiery-essence-top-sturdy,Fiery Essence Top (Sturdy),Armor,Chest,Burning Heart,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Burning Heart,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Leather_3006.png?class=iconmd,https://zeroluck.gg/7dso/gear/fiery-essence-top-sturdy/
gentle-breeze-earrings-sturdy,Gentle Breeze Earrings (Sturdy),Accessory,Earring,Scattered Petals,Rare,,,,,,,10 Accessory Fragment 100% Amount: 4-10,Sets Sets Scattered Petals,3,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/gentle-breeze-earrings-sturdy/
gentle-breeze-necklace-sturdy,Gentle Breeze Necklace (Sturdy),Accessory,Necklace,Scattered Petals,Rare,,,,,,,10 Accessory Fragment 100% Amount: 4-10,Sets Sets Scattered Petals,3,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/gentle-breeze-necklace-sturdy/
gentle-breeze-ring-sturdy,Gentle Breeze Ring (Sturdy),Accessory,Ring,Scattered Petals,Rare,,,,,,,10 Accessory Fragment 100% Amount: 4-10,Sets Sets Scattered Petals,3,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/gentle-breeze-ring-sturdy/
noble-hero-s-belt-sturdy,Noble Hero's Belt (Sturdy),Armor,Belt,,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Cloth_3020.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-belt-sturdy/
noble-hero-s-bottoms-sturdy,Noble Hero's Bottoms (Sturdy),Armor,Bottom,,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Cloth_3020.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-bottoms-sturdy/
noble-hero-s-combat-boots-sturdy,Noble Hero's Combat Boots (Sturdy),Armor,Shoes,,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Cloth_3020.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-combat-boots-sturdy/
noble-hero-s-earrings-sturdy,Noble Hero's Earrings (Sturdy),Accessory,Earring,,Rare,,,,,,,10 Accessory Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_3019.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-earrings-sturdy/
noble-hero-s-necklace-sturdy,Noble Hero's Necklace (Sturdy),Accessory,Necklace,,Rare,,,,,,,10 Accessory Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_3019.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-necklace-sturdy/
noble-hero-s-ring-sturdy,Noble Hero's Ring (Sturdy),Accessory,Ring,,Rare,,,,,,,10 Accessory Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_3019.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-ring-sturdy/
noble-hero-s-top-sturdy,Noble Hero's Top (Sturdy),Armor,Chest,,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Cloth_3020.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-top-sturdy/
ordinary-earrings,Ordinary Earrings,Accessory,Earring,,Rare,,,,,,,10 Accessory Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_3001.png?class=iconmd,https://zeroluck.gg/7dso/gear/ordinary-earrings/
ordinary-necklace,Ordinary Necklace,Accessory,Necklace,,Rare,,,,,,,10 Accessory Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_3001.png?class=iconmd,https://zeroluck.gg/7dso/gear/ordinary-necklace/
ordinary-ring,Ordinary Ring,Accessory,Ring,,Rare,,,,,,,10 Accessory Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_3001.png?class=iconmd,https://zeroluck.gg/7dso/gear/ordinary-ring/
pursuer-s-top-3,Pursuer's Top,Armor,Chest,,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Leather_3008.png?class=iconmd,https://zeroluck.gg/7dso/gear/pursuer-s-top-3/
scorching-gust-belt-sturdy,Scorching Gust Belt (Sturdy),Armor,Belt,Quaking Horizon,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Quaking Horizon,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Leather_3017.png?class=iconmd,https://zeroluck.gg/7dso/gear/scorching-gust-belt-sturdy/
scorching-gust-bottoms-sturdy,Scorching Gust Bottoms (Sturdy),Armor,Bottom,Quaking Horizon,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Quaking Horizon,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Leather_3017.png?class=iconmd,https://zeroluck.gg/7dso/gear/scorching-gust-bottoms-sturdy/
scorching-gust-combat-boots-sturdy,Scorching Gust Combat Boots (Sturdy),Armor,Shoes,Quaking Horizon,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Quaking Horizon,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Leather_3017.png?class=iconmd,https://zeroluck.gg/7dso/gear/scorching-gust-combat-boots-sturdy/
scorching-gust-top-sturdy,Scorching Gust Top (Sturdy),Armor,Chest,Quaking Horizon,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Quaking Horizon,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Leather_3017.png?class=iconmd,https://zeroluck.gg/7dso/gear/scorching-gust-top-sturdy/
thunderous-belt-sturdy,Thunderous Belt (Sturdy),Armor,Belt,Blinding Flash,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Blinding Flash,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Plate_3014.png?class=iconmd,https://zeroluck.gg/7dso/gear/thunderous-belt-sturdy/
thunderous-bottoms-sturdy,Thunderous Bottoms (Sturdy),Armor,Bottom,Blinding Flash,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Blinding Flash,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Plate_3014.png?class=iconmd,https://zeroluck.gg/7dso/gear/thunderous-bottoms-sturdy/
thunderous-combat-boots-sturdy,Thunderous Combat Boots (Sturdy),Armor,Shoes,Blinding Flash,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Blinding Flash,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Plate_3014.png?class=iconmd,https://zeroluck.gg/7dso/gear/thunderous-combat-boots-sturdy/
thunderous-top-sturdy,Thunderous Top (Sturdy),Armor,Chest,Blinding Flash,Rare,,,,,,,10 Metal Fragment 100% Amount: 4-10,Upgrade Comments Sets Sets Blinding Flash,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Plate_3014.png?class=iconmd,https://zeroluck.gg/7dso/gear/thunderous-top-sturdy/
adventurer-s-belt-2,Adventurer's Belt,Armor,Belt,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Cloth_3001.png?class=iconmd,https://zeroluck.gg/7dso/gear/adventurer-s-belt-2/
adventurer-s-bottoms-2,Adventurer's Bottoms,Armor,Bottom,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Cloth_3001.png?class=iconmd,https://zeroluck.gg/7dso/gear/adventurer-s-bottoms-2/
adventurer-s-combat-boots-2,Adventurer's Combat Boots,Armor,Shoes,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Cloth_3001.png?class=iconmd,https://zeroluck.gg/7dso/gear/adventurer-s-combat-boots-2/
adventurer-s-top-2,Adventurer's Top,Armor,Chest,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Cloth_3001.png?class=iconmd,https://zeroluck.gg/7dso/gear/adventurer-s-top-2/
artisan-s-fine-belt-2,Artisan's Fine Belt,Armor,Belt,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Cloth_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/artisan-s-fine-belt-2/
artisan-s-fine-bottoms-2,Artisan's Fine Bottoms,Armor,Bottom,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Cloth_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/artisan-s-fine-bottoms-2/
artisan-s-fine-combat-boots-2,Artisan's Fine Combat Boots,Armor,Shoes,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Cloth_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/artisan-s-fine-combat-boots-2/
artisan-s-fine-top-2,Artisan's Fine Top,Armor,Chest,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Cloth_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/artisan-s-fine-top-2/
blessed-belt-2,Blessed Belt,Armor,Belt,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Plate_3003.png?class=iconmd,https://zeroluck.gg/7dso/gear/blessed-belt-2/
blessed-bottoms-2,Blessed Bottoms,Armor,Bottom,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Plate_3003.png?class=iconmd,https://zeroluck.gg/7dso/gear/blessed-bottoms-2/
blessed-combat-boots-2,Blessed Combat Boots,Armor,Shoes,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Plate_3003.png?class=iconmd,https://zeroluck.gg/7dso/gear/blessed-combat-boots-2/
blessed-top-2,Blessed Top,Armor,Chest,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Plate_3003.png?class=iconmd,https://zeroluck.gg/7dso/gear/blessed-top-2/
casual-earrings,Casual Earrings,Accessory,Earring,,C,,,,,,,5 Accessory Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_2001.png?class=iconmd,https://zeroluck.gg/7dso/gear/casual-earrings/
casual-necklace,Casual Necklace,Accessory,Necklace,,C,,,,,,,5 Accessory Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_2001.png?class=iconmd,https://zeroluck.gg/7dso/gear/casual-necklace/
casual-ring,Casual Ring,Accessory,Ring,,C,,,,,,,5 Accessory Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_2001.png?class=iconmd,https://zeroluck.gg/7dso/gear/casual-ring/
guardian-s-belt-2,Guardian's Belt,Armor,Belt,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Leather_3005.png?class=iconmd,https://zeroluck.gg/7dso/gear/guardian-s-belt-2/
guardian-s-bottoms-2,Guardian's Bottoms,Armor,Bottom,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Leather_3005.png?class=iconmd,https://zeroluck.gg/7dso/gear/guardian-s-bottoms-2/
guardian-s-combat-boots-2,Guardian's Combat Boots,Armor,Shoes,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Leather_3005.png?class=iconmd,https://zeroluck.gg/7dso/gear/guardian-s-combat-boots-2/
guardian-s-top-2,Guardian's Top,Armor,Chest,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Leather_3005.png?class=iconmd,https://zeroluck.gg/7dso/gear/guardian-s-top-2/
pursuer-s-belt-2,Pursuer's Belt,Armor,Belt,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Leather_3008.png?class=iconmd,https://zeroluck.gg/7dso/gear/pursuer-s-belt-2/
pursuer-s-bottoms-2,Pursuer's Bottoms,Armor,Bottom,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Leather_3008.png?class=iconmd,https://zeroluck.gg/7dso/gear/pursuer-s-bottoms-2/
pursuer-s-combat-boots-2,Pursuer's Combat Boots,Armor,Shoes,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Leather_3008.png?class=iconmd,https://zeroluck.gg/7dso/gear/pursuer-s-combat-boots-2/
pursuer-s-top-2,Pursuer's Top,Armor,Chest,,C,,,,,,,5 Metal Fragment 100% Amount: 2-5,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Leather_3008.png?class=iconmd,https://zeroluck.gg/7dso/gear/pursuer-s-top-2/
adventurer-s-belt,Adventurer's Belt,Armor,Belt,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Cloth_3001.png?class=iconmd,https://zeroluck.gg/7dso/gear/adventurer-s-belt/
adventurer-s-bottoms,Adventurer's Bottoms,Armor,Bottom,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Cloth_3001.png?class=iconmd,https://zeroluck.gg/7dso/gear/adventurer-s-bottoms/
adventurer-s-combat-boots,Adventurer's Combat Boots,Armor,Shoes,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Cloth_3001.png?class=iconmd,https://zeroluck.gg/7dso/gear/adventurer-s-combat-boots/
adventurer-s-top,Adventurer's Top,Armor,Chest,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Cloth_3001.png?class=iconmd,https://zeroluck.gg/7dso/gear/adventurer-s-top/
artisan-s-fine-belt,Artisan's Fine Belt,Armor,Belt,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Cloth_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/artisan-s-fine-belt/
artisan-s-fine-bottoms,Artisan's Fine Bottoms,Armor,Bottom,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Cloth_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/artisan-s-fine-bottoms/
artisan-s-fine-combat-boots,Artisan's Fine Combat Boots,Armor,Shoes,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Cloth_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/artisan-s-fine-combat-boots/
artisan-s-fine-top,Artisan's Fine Top,Armor,Chest,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Cloth_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/artisan-s-fine-top/
blessed-belt,Blessed Belt,Armor,Belt,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Plate_3003.png?class=iconmd,https://zeroluck.gg/7dso/gear/blessed-belt/
blessed-bottoms,Blessed Bottoms,Armor,Bottom,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Plate_3003.png?class=iconmd,https://zeroluck.gg/7dso/gear/blessed-bottoms/
blessed-combat-boots,Blessed Combat Boots,Armor,Shoes,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Plate_3003.png?class=iconmd,https://zeroluck.gg/7dso/gear/blessed-combat-boots/
